"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16556","TC_002_LoginTest","chromium","2026-05-26","passed","2026-05-26","","TC_002_LoginTest.spec.ts","",""
"","16431","TC_001_Registration test","chromium","2026-05-26","passed","2026-05-26","","TC_001_RegistrationTest.spec.ts","",""
